,Energy [MeV],norm_phi_n_mu_WS,norm_phi_n_mu_MK1,norm_phi_n_mu_avg,norm_phi_n_alpha_WS,norm_phi_n_alpha_MK1,norm_phi_n_alpha_avg
106,0.1139024,0.8936980695753558,0.5496285416286224,0.7216633099917121,0.49666944682464986,0.26813203233645644,0.3824007395805532
107,0.119742088,0.7964869795823171,0.343841640710324,0.5701643101463205,0.3873417089570043,0.22043190862013365,0.303886808788569
108,0.125881152,0.957630011202948,0.33914989910483184,0.6483899591258905,0.4793723209650957,0.27411656512326804,0.3767444470161824
109,0.132335631,1.0050098979011934,0.3447715150880264,0.6748907102728817,0.4493839002437673,0.25533180100225616,0.35235785440128364
110,0.139120537,0.7242669139495919,0.3089321744064286,0.5165995441780102,0.3614863778163824,0.20455762760605217,0.28302200271121725
111,0.146253291,0.6001042602179804,0.24651286650363308,0.42330856677953316,0.28391225056262154,0.14747367975466616,0.21569296515864386
112,0.153751955,0.7028205137294027,0.2840527523698804,0.4934366330496416,0.2870700993688178,0.15288935350448066,0.2199797264366492
113,0.159627033,0.6405133396171061,0.413199893278728,0.5268566195802187,0.25209022709831364,0.14898973910014354,0.20053998623153008
114,0.163668217,0.8317569378787819,0.2827178351921558,0.5572373895904298,0.2877305921894414,0.16728096329173062,0.227505777740586
115,0.167811392,0.6614522391900545,0.446054002102551,0.5537531206463027,0.2657875098253163,0.15115093020621626,0.2084692200157663
116,0.172059555,0.5786641491662581,0.3118997779576961,0.44528196065600656,0.23087304276708143,0.11854718559512721,0.17471011708707487
117,0.178634177,0.6300444903104965,0.31555469365753,0.4727995919840132,0.20847796107908284,0.13924115428370687,0.17385955768139486
118,0.187792802,0.4349571342995351,0.18321674544267144,0.30908693720859437,0.16629028731356804,0.09998038689470111,0.13313533710413458
119,0.197421304,0.4438433351650843,0.2278026235709597,0.3358229819006767,0.16130639578796419,0.08966913216215004,0.12548776397505712
120,0.207543137,0.4311535052108228,0.22108949331338287,0.3261214992621028,0.15813140571350237,0.09930047458037602,0.12871594014693918
121,0.218184301,0.42153785390819665,0.2935733996737006,0.3575556290825892,0.16072105022808217,0.10110512029919147,0.13091308526363682
122,0.229371315,0.43992287352932513,0.2015008546295338,0.3207118640794295,0.1619167592948578,0.09140876661059384,0.12666276513259733
123,0.241131153,0.4280629056669422,0.26663108105322253,0.34734699336008235,0.1614379623523801,0.0981356357550366,0.12978679698014797
124,0.253493779,0.4264485086239533,0.20074437408580353,0.3135964413548784,0.15557825582772983,0.09212248952271133,0.12385037267522057
125,0.266490716,0.4890469692760328,0.44406318079763796,0.4665550750368354,0.16265372636846379,0.09705985404759841,0.1298567902080311
126,0.276673885,0.4116630198039833,0.3097828441596503,0.36072293198181676,0.1395899327469956,0.07595709656514926,0.10777351465607243
127,0.283677833,0.37463540550946045,0.25387650574727844,0.3142559573909323,0.12256562182636244,0.06910980950704033,0.09583771742926421
128,0.290859264,0.3832794956120084,0.1856797897968964,0.284479640985408,0.12184198815823173,0.06812182540625558,0.0949819085012881
129,0.298222699,0.46920869024795464,0.26398902318297374,0.3665988583920636,0.1283420314025124,0.07653433516809531,0.10243818496190327
130,0.305772115,0.5094095189157455,0.42327365920859067,0.46634158906216805,0.128234440213752,0.08037974293372042,0.1043070915737362
131,0.313512502,0.4002393339963201,0.27740213690106685,0.3388207370435262,0.12159045893487208,0.07693636727762773,0.09926341310624989
132,0.325492775,0.3006913809377182,0.18314305133193817,0.24191721613482817,0.10761773129987294,0.060640160138731185,0.08412894571930206
133,0.342181566,0.3136421615418055,0.2158869598486787,0.2647645606952421,0.10529979864549453,0.06705657253319133,0.0861781870505555
134,0.359725582,0.21862484331181098,0.21271309806373462,0.2156689706877728,0.07806903207679014,0.05299986977295376,0.06553444953492354
135,0.378168826,0.21541959410477687,0.15088516312552955,0.1831523786151532,0.06502358023556389,0.04527052951741717,0.055147054876490534
136,0.397557756,0.20182784712166452,0.13635118968726648,0.1690895171467866,0.06043241676814375,0.03872358862997506,0.04957800395673831
137,0.417940879,0.15741717622219004,0.11666156973364647,0.13703937297791824,0.05043014469039292,0.03407153431382815,0.04225083950211054
138,0.439369177,0.15694057892458851,0.10611278041472626,0.1315266796696574,0.04619900544366134,0.03306204385839292,0.03963052465102712
139,0.461896147,0.20529835248874678,0.18108098658809554,0.19318966953842118,0.06695826583719046,0.04487109739843749,0.055914681617813974
140,0.485578252,0.2353050626328298,0.19963637292388456,0.21747071777835716,0.0852109290924339,0.05309818529516845,0.06915455719380117
141,0.504133143,0.26211664881552926,0.1613608133675115,0.2117387310915204,0.08992512122933366,0.057397775571363295,0.07366144939214996
142,0.51689513,0.2344074222560387,0.13297619383645576,0.18369180804624724,0.08830050110938364,0.05566977967078158,0.07198514135739682
143,0.529980584,0.20803321730744762,0.1662035698273807,0.18711839262398336,0.08059100142430878,0.05298095033609759,0.0667859749367724
144,0.543397043,0.22884246537940767,0.16110736362619477,0.19497491450280122,0.0883617727010708,0.05452441889714147,0.07144309579910614
145,0.564161196,0.19359969415549808,0.18646804095331646,0.19003386755440727,0.07384823574431021,0.046696348821552054,0.060272291396659614
146,0.593086653,0.23264279730806894,0.21640259370328474,0.22452269550567683,0.08026828922754396,0.04948713961364428,0.06487771526364125
