energy,xsection,Min_Cross_Section,Max_Cross_Section
12855190.0,0.1411632,0.14092870752884615,0.38170478015000003
13000000.0,0.135196,0.134986,0.382166
13183410.0,0.1287672,0.12858168153581268,0.3827499944087798
13369400.0,0.1222478,0.12208727451790634,0.3833422037762568
13500000.0,0.11767,0.117527,0.38375800000000004
13690460.0,0.1120114,0.11188784664007363,0.38436443863050845
13883610.0,0.106273,0.10616905978060755,0.38497941950056497
14000000.0,0.102815,0.102723,0.38535
14197510.0,0.09765299,0.09757613036219999,0.38566463343
14397820.0,0.09241815,0.09235629614039999,0.38598372726
14500000.0,0.0897476,0.08969361,0.3861465
14704570.0,0.0855577,0.0855147742510322,0.38647238001
14912020.0,0.08130869,0.08127710581565717,0.38680284785999997
15000000.0,0.0795068,0.0794799,0.386943
15211620.0,0.07624057,0.0762199619275581,0.38727989904
15426230.0,0.07292826,0.072913963455246,0.38762155816
15643870.0,0.06956921,0.069561285811,0.38796804104
15864570.0,0.06616278,0.066161468521,0.38831939544
16000000.0,0.0640726,0.06407521,0.388535
16225730.0,0.06162926,0.0616346616804292,0.388535
16454650.0,0.05915146,0.05915962427769986,0.388535
16686790.0,0.05663869,0.05664976714718163,0.388535
16922210.0,0.05409047,0.05410445275195823,0.388535
17000000.0,0.0532485,0.0532634,0.388535
17239840.0,0.05143896,0.05145469283681149,0.388535
17483060.0,0.04960389,0.04962049950667123,0.388535
17729720.0,0.04774293,0.047760364844341444,0.388535
17979850.0,0.04585572,0.04587405740978847,0.388535
18000000.0,0.0457037,0.0457221,0.388535
18253950.0,0.0444377,0.04445600688,0.388535
18511480.0,0.04315383,0.04317206500110988,0.388535
18772640.0,0.04185185,0.04187002759906174,0.388535
19000000.0,0.0407184,0.0407365,0.388535
19268060.0,0.03959653,0.03961351782246705,0.388535
19539890.0,0.03845884,0.03847473963722127,0.388535
19815570.0,0.03730509,0.03731983051068022,0.388535
20000000.0,0.0365332,0.0269885,0.388535
20282160.0,0.0356272,0.0,0.035640137814617924
20568310.0,0.03470842,0.0,0.034720254700662256
20858490.0,0.03377667,0.0,0.0337874124781457
21000000.0,0.0333223,0.0,0.0333325
21296270.0,0.03261406,0.0,0.032622903723
21596720.0,0.03189583,0.0,0.031903295928
21901420.0,0.03116747,0.0,0.031173508958
22000000.0,0.0309318,0.0,0.0309374
22310380.0,0.03054035,0.0,0.030544862414
22625140.0,0.03014337,0.0,0.030146785442
22944340.0,0.0297408,0.0,0.029743093202
23000000.0,0.0296706,0.0,0.0296727
23324490.0,0.029041,0.0,0.029042151032
23653560.0,0.02840251,0.0,0.028402702208
23987260.0,0.02775501,0.0,0.027754256368
24000000.0,0.0277303,0.0,0.0277295
24338600.0,0.02713217,0.0,0.02713099064
24681970.0,0.0265256,0.0,0.026524049828
25000000.0,0.0259638,0.0,0.0259619
25352710.0,0.02548807,0.0,0.025485773304328222
25710390.0,0.02500563,0.0,0.025002940076238545
26000000.0,0.024615,0.0,0.024612
26366810.0,0.02372507,0.0,0.023721642087
26738800.0,0.02282259,0.0,0.02281871076
27000000.0,0.0221889,0.0,0.0221847
27380920.0,0.02174985,0.0,0.021745765990023976
27767220.0,0.02130461,0.0,0.021300632565448844
28000000.0,0.0210363,0.0,0.0210324
28395030.0,0.02075322,0.0,0.020748649951000002
28795630.0,0.02046615,0.0,0.020460898971
29000000.0,0.0203197,0.0,0.0203141
29409140.0,0.01987259,0.0,0.019867318743587437
29824050.0,0.01941918,0.0,0.01941423664186642
30000000.0,0.0194032,0.0,0.0193987
30423250.0,0.01910977,0.0,0.01911538031080311
30852460.0,0.01881425,0.0,0.018828064263642637
31287740.0,0.01851667,0.0,0.018539765662
31729150.0,0.01821706,0.0,0.018249008895
32000000.0,0.0180343,0.0,0.0180706
32176790.0,0.01783367,0.0,0.0178707424408
32630750.0,0.01732165,0.0,0.01735754974
33091110.0,0.01680705,0.0,0.0168391409648
33557960.0,0.01628996,0.0,0.0163217217728
34000000.0,0.0158048,0.0,0.0158318
34031410.0,0.0157754,0.0,0.0158025440978
34511530.0,0.0153281,0.0,0.0153553507274
34998420.0,0.01487862,0.0,0.0149018516436
35492190.0,0.01442705,0.0,0.0144506266218
35992920.0,0.01397349,0.0,0.0139930695624
36000000.0,0.01396711,0.0,0.0139866
36500720.0,0.01358948,0.0,0.0136092774368
37015670.0,0.01320466,0.0,0.0132214451402
37537900.0,0.01281808,0.0,0.012835026274
38000000.0,0.0124791,0.0,0.0124931
38067490.0,0.01243652,0.0,0.0124507216792
38604560.0,0.01209951,0.0,0.0121134846848
39149200.0,0.01176092,0.0,0.011773111664
39701520.0,0.01142082,0.0,0.0114322860384
40000000.0,0.0112384,0.0,0.0112481
40261640.0,0.01107899,0.0,0.0110867910908
40829660.0,0.01073534,0.0,0.0107365897202
41405690.0,0.01039025,0.0,0.01054107533695
41989850.0,0.01004379,0.0,0.01046493300175
42000000.0,0.0100378,0.0,0.01046361
42582250.0,0.009738497,0.0,0.01038971374125
43183010.0,0.009432655,0.0,0.01031346828585
43792240.0,0.009125583,0.0,0.0102361478604
44000000.0,0.009021578,0.0,0.01020978
44410070.0,0.00880519,0.0,0.0101586196668
45036620.0,0.008477356,0.0,0.01007497473118
45672010.0,0.008148333,0.0,0.00990068026489
46000000.0,0.007979841,0.0,0.009810709
46316360.0,0.007858737,0.0,0.009725089487780001
46969800.0,0.007610422,0.0,0.009548242812900001
47632460.0,0.007361122,0.0,0.009368900841830001
48000000.0,0.007223939,0.0,0.00926943
48304460.0,0.00709937,0.0,0.00918838868497
48985950.0,0.006822627,0.0,0.009006989336025
49677060.0,0.006544922,0.0,0.00882302933067
50000000.0,0.00641617,0.0,0.008737069
50377910.0,0.006294143,0.0,0.00869584166437
51088650.0,0.00606644,0.0,0.00861830490555
51809420.0,0.00583792,0.0,0.00853967394394
52000000.0,0.0057779,0.0,0.008518883
52540360.0,0.005618132,0.0,0.00846088994372
53281610.0,0.005400935,0.0,0.00838133676997
54000000.0,0.00519261,0.0,0.008304237
54033320.0,0.005185505,0.0,0.008300709245000001
54795630.0,0.005023782,0.0,0.00821999967375
55568700.0,0.004861412,0.0,0.0080379607337
56000000.0,0.00477154,0.0,0.007916313
56352670.0,0.004688303,0.0,0.007818100576724999
57147710.0,0.004502069,0.0,0.007596695849925
57953960.0,0.004315202,0.0,0.0073721693343
58000000.0,0.004304591,0.0,0.007359348
58771580.0,0.004139203,0.0,0.00714796671478
59600740.0,0.003963287,0.0,0.00692081087034
60000000.0,0.00387925,0.0,0.00681143
60441600.0,0.003813518,0.0,0.0067820781728
61294330.0,0.003687524,0.0,0.00672539976789
62159080.0,0.003561011,0.0,0.00666811777988
63036030.0,0.003434007,0.0,0.00661090643883
63925360.0,0.003306541,0.0,0.00655288743896
64827230.0,0.003178644,0.0,0.00649495864057
65000000.0,0.0031543,0.0,0.006483877
65741820.0,0.00307623,0.0,0.00633717690226
66669320.0,0.002979459,0.0,0.00615549417016
67609910.0,0.002882275,0.0,0.00597192674458
68563760.0,0.0027847,0.0,0.00578756366392
69531070.0,0.002686756,0.0,0.00560185658819
70000000.0,0.00263964,0.0,0.00551183
70512030.0,0.002588545,0.0,0.005488427924864999
71506830.0,0.002490011,0.0,0.005442961088265
72515660.0,0.00239108,0.0,0.00539736738838
73538730.0,0.002291776,0.0,0.0053516289978899996
74576220.0,0.00219212,0.0,0.0053057656829
75000000.0,0.00215172,0.0,0.005287202
75628360.0,0.002107989,0.0,0.0052222327178
76695340.0,0.002034295,0.0,0.0051129296031200006
77777370.0,0.001960284,0.0,0.00500263612116
78874670.0,0.001885972,0.0,0.004892264767195
79987450.0,0.001811377,0.0,0.004780718030825
80000000.0,0.00181054,0.0,0.00477946
81115930.0,0.001749235,0.0,0.00467283177257
82260330.0,0.00168693,0.0,0.00456387890977
83420880.0,0.001624327,0.0,0.004454751232719999
84597790.0,0.001561441,0.0,0.00434481869684
85791320.0,0.001498283,0.0,0.0042489026672
