Incident energy;xsec
1.87753E+03;1.98361E-05
2.00000E+03;2.11300E-05
2.32368E+03;2.45497E-05
2.48553E+03;2.62596E-05
2.64737E+03;2.79694E-05
2.73553E+03;2.89008E-05
2.82368E+03;2.98322E-05
2.86776E+03;3.02979E-05
2.91184E+03;3.07636E-05
2.95592E+03;3.12293E-05
3.00000E+03;3.16950E-05
3.02616E+03;3.19714E-05
3.05231E+03;3.22477E-05
3.06539E+03;3.23859E-05
3.07847E+03;3.25241E-05
3.09155E+03;3.26622E-05
3.10463E+03;3.28004E-05
3.11552E+03;3.29155E-05
3.12642E+03;3.30307E-05
3.13732E+03;3.31458E-05
3.14822E+03;3.32610E-05
3.15912E+03;3.33761E-05
3.16457E+03;3.34337E-05
3.17002E+03;3.34912E-05
3.17547E+03;3.35488E-05
3.18092E+03;3.36064E-05
3.18636E+03;3.36640E-05
3.19181E+03;3.37215E-05
3.19699E+03;3.37762E-05
3.20217E+03;3.38309E-05
3.20734E+03;3.38856E-05
3.21252E+03;3.39403E-05
3.21770E+03;3.39950E-05
3.22029E+03;3.40224E-05
3.22288E+03;3.40497E-05
3.22546E+03;3.40771E-05
3.22805E+03;3.41044E-05
3.23064E+03;3.41317E-05
3.23323E+03;3.41591E-05
3.23568E+03;3.41850E-05
3.23813E+03;3.42109E-05
3.24058E+03;3.42368E-05
3.24304E+03;3.42627E-05
3.24549E+03;3.42886E-05
3.24794E+03;3.43145E-05
3.25039E+03;3.43404E-05
3.25162E+03;3.43534E-05
3.25284E+03;3.43663E-05
3.25434E+03;3.43822E-05
3.25584E+03;3.43980E-05
3.25734E+03;3.44138E-05
3.25884E+03;3.44296E-05
3.26034E+03;3.44455E-05
3.26109E+03;3.44534E-05
3.26184E+03;3.44613E-05
3.26259E+03;3.44692E-05
3.26333E+03;3.44771E-05
3.26408E+03;3.44851E-05
3.26483E+03;3.44930E-05
3.26565E+03;3.45016E-05
3.26647E+03;3.45102E-05
3.26729E+03;3.45189E-05
3.26810E+03;3.45275E-05
3.26851E+03;3.45318E-05
3.26892E+03;3.45362E-05
3.26933E+03;3.45405E-05
3.26974E+03;3.45448E-05
3.27015E+03;3.45491E-05
3.27055E+03;3.45534E-05
3.27096E+03;3.45577E-05
3.27137E+03;3.45621E-05
3.27161E+03;3.45646E-05
3.27185E+03;3.45671E-05
3.27209E+03;3.45696E-05
3.27233E+03;3.45721E-05
3.27256E+03;3.45747E-05
3.27280E+03;3.45772E-05
3.27304E+03;3.45797E-05
3.27328E+03;3.45822E-05
3.27352E+03;3.45847E-05
3.27376E+03;3.45872E-05
3.27399E+03;3.45898E-05
3.27423E+03;3.45923E-05
3.27447E+03;3.45948E-05
3.27471E+03;3.45973E-05
3.27495E+03;3.45998E-05
3.27519E+03;3.46024E-05
3.27544E+03;3.46051E-05
3.27570E+03;3.46078E-05
3.27595E+03;3.46105E-05
3.27621E+03;3.46132E-05
3.27672E+03;3.46186E-05
3.27723E+03;3.46240E-05
3.27777E+03;3.46297E-05
3.27832E+03;3.46355E-05
3.27869E+03;3.46394E-05
3.27905E+03;3.46432E-05
3.27943E+03;3.46472E-05
3.27977E+03;3.46508E-05
3.28010E+03;3.46543E-05
3.28045E+03;3.46580E-05
3.28081E+03;3.46617E-05
3.28145E+03;3.46685E-05
3.28209E+03;3.46753E-05
3.28240E+03;3.46786E-05
3.28271E+03;3.46818E-05
3.28301E+03;3.46851E-05
3.28332E+03;3.46883E-05
3.28363E+03;3.46916E-05
3.28378E+03;3.46932E-05
3.28394E+03;3.46948E-05
3.28409E+03;3.46964E-05
3.28424E+03;3.46980E-05
3.28440E+03;3.46997E-05
3.28455E+03;3.47013E-05
3.28470E+03;3.47028E-05
3.28484E+03;3.47044E-05
3.28499E+03;3.47059E-05
3.28513E+03;3.47075E-05
3.28528E+03;3.47090E-05
3.28543E+03;3.47106E-05
3.28557E+03;3.47121E-05
3.28572E+03;3.47136E-05
3.28587E+03;3.47152E-05
3.28601E+03;3.47167E-05
3.28616E+03;3.47183E-05
3.28630E+03;3.47198E-05
3.28660E+03;3.47229E-05
3.28689E+03;3.47260E-05
3.28718E+03;3.47291E-05
3.28747E+03;3.47322E-05
3.28777E+03;3.47353E-05
3.28806E+03;3.47384E-05
3.28835E+03;3.47415E-05
3.28864E+03;3.47445E-05
3.28894E+03;3.47476E-05
3.28923E+03;3.47507E-05
3.28976E+03;3.47563E-05
3.29028E+03;3.47618E-05
3.29081E+03;3.47674E-05
3.29133E+03;3.47730E-05
3.29186E+03;3.47785E-05
3.29239E+03;3.47841E-05
3.29291E+03;3.47897E-05
3.29344E+03;3.47952E-05
3.29449E+03;3.48063E-05
3.29555E+03;3.48175E-05
3.29660E+03;3.48286E-05
3.29765E+03;3.48397E-05
3.29859E+03;3.48496E-05
3.29952E+03;3.48595E-05
3.30046E+03;3.48694E-05
3.30139E+03;3.48792E-05
3.30233E+03;3.48891E-05
3.30420E+03;3.49089E-05
3.30549E+03;3.49225E-05
3.30677E+03;3.49361E-05
3.30806E+03;3.49497E-05
3.30935E+03;3.49633E-05
3.31063E+03;3.49769E-05
3.31192E+03;3.49905E-05
3.31449E+03;3.50177E-05
3.31707E+03;3.50448E-05
3.31964E+03;3.50720E-05
3.32221E+03;3.50992E-05
3.32479E+03;3.51264E-05
3.32760E+03;3.51561E-05
3.33040E+03;3.51857E-05
3.33321E+03;3.52154E-05
3.33602E+03;3.52450E-05
3.33883E+03;3.52747E-05
3.34163E+03;3.53044E-05
3.34444E+03;3.53340E-05
3.34725E+03;3.53637E-05
3.35286E+03;3.54230E-05
3.35848E+03;3.54823E-05
3.36409E+03;3.55416E-05
3.36970E+03;3.56009E-05
3.37719E+03;3.56800E-05
3.38468E+03;3.57591E-05
3.39216E+03;3.58382E-05
3.39965E+03;3.59173E-05
3.40714E+03;3.59964E-05
3.41462E+03;3.60755E-05
3.42211E+03;3.61546E-05
3.42959E+03;3.62337E-05
3.44644E+03;3.64117E-05
3.46328E+03;3.65896E-05
3.48013E+03;3.67676E-05
3.49697E+03;3.69455E-05
3.51382E+03;3.71235E-05
3.53066E+03;3.73014E-05
3.54750E+03;3.74794E-05
3.56435E+03;3.76574E-05
3.58119E+03;3.78353E-05
3.59804E+03;3.80133E-05
3.63172E+03;3.83692E-05
3.69910E+03;3.90810E-05
3.78041E+03;3.99400E-05
3.86171E+03;4.07990E-05
4.02433E+03;4.25170E-05
4.18694E+03;4.42350E-05
4.22759E+03;4.46645E-05
4.23776E+03;4.47719E-05
4.24792E+03;4.48793E-05
4.26824E+03;4.50940E-05
4.34955E+03;4.59530E-05
4.67478E+03;4.93890E-05
5.00000E+03;5.28250E-05
5.50000E+03;5.81075E-05
5.75000E+03;6.07488E-05
6.00000E+03;6.33900E-05
6.24350E+03;6.59626E-05
6.48699E+03;6.85351E-05
6.73048E+03;7.11076E-05
6.97398E+03;7.36801E-05
7.09573E+03;7.49664E-05
7.21747E+03;7.62526E-05
7.33922E+03;7.75389E-05
7.46097E+03;7.88251E-05
7.58271E+03;8.01114E-05
7.70446E+03;8.13976E-05
7.82621E+03;8.26839E-05
7.94795E+03;8.39702E-05
8.03629E+03;8.49034E-05
8.12462E+03;8.58367E-05
8.21296E+03;8.67699E-05
8.30129E+03;8.77032E-05
8.38963E+03;8.86364E-05
8.43379E+03;8.91030E-05
8.47796E+03;8.95697E-05
8.52213E+03;9.00363E-05
8.56629E+03;9.05029E-05
8.61046E+03;9.09695E-05
8.65463E+03;9.14362E-05
8.68996E+03;9.18095E-05
8.72530E+03;9.21828E-05
