Incident energy [eV];Computed function [b]
1.265004E+05;1.572910E-14
1.265160E+05;1.573830E-14
1.265315E+05;1.574750E-14
1.265471E+05;1.575680E-14
1.265626E+05;1.576600E-14
1.265782E+05;1.577530E-14
1.265937E+05;1.578450E-14
1.266248E+05;1.580290E-14
1.266559E+05;1.582140E-14
1.266870E+05;1.583980E-14
1.267181E+05;1.585830E-14
1.267491E+05;1.587670E-14
1.267865E+05;1.589890E-14
1.268238E+05;1.592100E-14
1.268611E+05;1.594320E-14
1.268984E+05;1.596530E-14
1.269357E+05;1.598750E-14
1.269730E+05;1.600960E-14
1.270103E+05;1.603170E-14
1.270476E+05;1.605390E-14
1.271223E+05;1.609820E-14
1.271969E+05;1.614250E-14
1.272715E+05;1.618680E-14
1.273461E+05;1.623100E-14
1.274767E+05;1.630860E-14
1.276073E+05;1.638610E-14
1.277379E+05;1.646360E-14
1.278685E+05;1.654110E-14
1.279991E+05;1.661860E-14
1.281297E+05;1.669610E-14
1.283909E+05;1.685120E-14
1.286521E+05;1.700620E-14
1.289133E+05;1.716120E-14
1.294356E+05;1.747120E-14
1.298336E+05;1.770750E-14
1.302316E+05;1.794370E-14
1.310276E+05;1.841620E-14
1.319729E+05;1.897720E-14
1.329182E+05;1.953830E-14
1.338635E+05;2.009940E-14
1.348087E+05;2.066040E-14
1.357540E+05;2.122150E-14
1.366992E+05;2.178250E-14
1.376445E+05;2.234360E-14
1.381171E+05;2.262410E-14
1.385897E+05;2.290460E-14
1.390040E+05;7.018430E-11
1.394182E+05;1.771949E-09
1.398324E+05;3.476777E-09
1.402466E+05;5.181606E-09
1.405023E+05;6.234055E-09
1.407580E+05;7.286505E-09
1.410137E+05;8.338954E-09
1.412694E+05;9.391404E-09
1.415251E+05;1.044385E-08
1.416530E+05;1.097028E-08
1.417808E+05;1.149630E-08
1.419087E+05;1.202274E-08
1.420365E+05;1.254875E-08
1.421644E+05;1.307518E-08
1.422922E+05;1.360121E-08
1.424004E+05;1.404655E-08
1.425086E+05;1.449190E-08
1.426168E+05;1.493724E-08
1.427249E+05;1.538218E-08
1.428331E+05;1.582752E-08
1.429413E+05;1.627287E-08
1.429954E+05;1.649554E-08
1.430495E+05;1.671822E-08
1.431036E+05;1.694089E-08
1.431576E+05;1.716315E-08
1.432117E+05;1.738582E-08
1.432658E+05;1.760850E-08
1.433199E+05;1.783117E-08
1.433740E+05;1.805384E-08
1.434281E+05;1.827652E-08
1.434822E+05;1.849919E-08
